,ppg
1254,24.884005
1255,24.884005
1256,24.761906
1257,24.761906
1258,24.761906
1259,24.688644
1260,24.688644
1261,24.639805
1262,24.639805
1263,24.639805
1264,24.615385
1265,24.615385
1266,24.590965
1267,24.590965
1268,24.542126
1269,24.542126
1270,24.542126
1271,24.444445
1272,24.444445
1273,24.322344
1274,24.322344
1275,24.322344
1276,24.126984
1277,24.126984
1278,
1279,
1280,23.809525
1281,23.809525
1282,23.809525
1283,23.369965
1284,23.369965
1285,22.832724
1286,22.832724
1287,22.832724
1288,22.197803
1289,22.197803
1290,21.489622
1291,21.489622
1292,20.83028
1293,20.83028
1294,20.83028
1295,20.317461
1296,20.317461
1297,20.097681
1298,20.097681
1299,20.097681
1300,20.488401
1301,20.488401
1302,21.855923
1303,21.855923
1304,24.151405
1305,24.151405
1306,24.151405
1307,27.326008
1308,27.326008
1309,31.550673
1310,31.550673
1311,31.550673
1312,36.581196
1313,36.581196
1314,42.100124
1315,42.100124
1316,47.69231
1317,47.69231
1318,47.69231
1319,52.967033
1320,52.967033
1321,57.435898
1322,57.435898
1323,57.435898
1324,61.074482
1325,61.074482
1326,63.956043
1327,63.956043
1328,65.86081
1329,65.86081
1330,65.86081
1331,66.86203
1332,66.86203
1333,67.17949
1334,67.17949
1335,67.17949
1336,67.08181
1337,67.08181
1338,66.61783
1339,66.61783
1340,65.88522
1341,65.88522
1342,65.88522
1343,65.030525
1344,65.030525
1345,64.151405
1346,64.151405
1347,64.151405
1348,63.296703
1349,63.296703
1350,62.466423
1351,62.466423
1352,61.684982
1353,61.684982
1354,61.684982
1355,60.976803
1356,60.976803
1357,60.34188
1358,60.34188
1359,60.34188
1360,59.706963
1361,59.706963
1362,59.09646
1363,59.09646
1364,58.51038
1365,58.51038
1366,58.51038
1367,57.924297
1368,57.924297
1369,57.38706
1370,57.38706
1371,57.38706
1372,56.89866
1373,56.89866
1374,56.41026
1375,56.41026
1376,55.921856
1377,55.921856
1378,55.921856
1379,55.360195
1380,55.360195
1381,54.725277
1382,54.725277
1383,54.725277
1384,54.017094
1385,54.017094
1386,53.137974
1387,53.137974
1388,52.06349
1389,52.06349
1390,52.06349
1391,50.866913
1392,50.866913
1393,49.57265
1394,49.57265
1395,49.57265
1396,48.15629
1397,48.15629
1398,46.764347
1399,46.764347
1400,45.470085
1401,45.470085
1402,45.470085
1403,44.273506
1404,44.273506
1405,43.247864
1406,43.247864
1407,43.247864
1408,42.368744
1409,42.368744
1410,41.636143
1411,41.636143
1412,41.025642
1413,41.025642
1414,41.025642
1415,40.4884
1416,40.4884
1417,40.0
1418,40.0
1419,40.0
1420,39.5116
1421,39.5116
1422,39.0232
1423,39.0232
1424,38.55922
1425,38.55922
1426,38.55922
1427,38.144077
1428,38.144077
1429,37.753357
1430,37.753357
1431,37.753357
1432,37.411476
1433,37.411476
1434,37.094017
1435,37.094017
1436,36.825397
1437,36.825397
1438,36.825397
1439,36.581196
1440,36.581196
1441,36.385838
1442,36.385838
1443,36.385838
1444,36.263737
1445,36.263737
1446,36.166058
1447,36.166058
1448,36.06838
1449,36.06838
1450,36.06838
1451,35.995117
1452,35.995117
1453,35.873016
1454,35.873016
1455,35.873016
1456,35.702076
1457,35.702076
1458,35.482296
1459,35.482296
1460,35.262516
1461,35.262516
1462,35.262516
1463,34.969475
1464,34.969475
1465,34.578754
1466,34.578754
1467,34.578754
1468,34.114773
1469,34.114773
1470,33.626373
1471,33.626373
1472,33.089134
1473,33.089134
1474,33.089134
1475,32.527473
1476,32.527473
1477,31.941393
1478,31.941393
1479,31.941393
1480,31.379732
1481,31.379732
1482,30.86691
